Price,Close,High,Low,Open,Volume
Ticker,HSBA.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L
Date,,,,,
2021-07-20,395.27008056640625,397.966477927494,388.8287342787062,395.4698249919388,35484539
2021-07-21,401.3119812011719,404.5576298737958,395.66955191180017,396.618261699305,18849481
2021-07-22,400.16351318359375,407.2300278803797,399.36456602111093,403.7586687462534,14896047
2021-07-23,401.0622863769531,404.45772787363535,399.56429479223596,399.96375311948384,9358354
2021-07-26,402.36053466796875,404.65747339022533,392.37392407568007,398.96509316193396,18758188
2021-07-27,402.760009765625,406.85452637428597,398.56565142825764,406.45506802930595,18925080
2021-07-28,396.0690002441406,398.365908594407,393.22281000022394,394.1215988991665,26888237
2021-07-29,400.4631042480469,402.61021953458174,393.32268342225956,396.2187945396823,21830715
2021-07-30,396.9178771972656,399.81398837080866,393.4724841177299,396.16888135186383,20636760
2021-08-02,395.6195983886719,404.5076763016778,394.52106505634106,401.2121067814042,17109614
2021-08-03,397.51702880859375,400.06363283648614,392.8233400409962,395.6195788609812,15536542
2021-08-04,399.8638610839844,401.0123151466239,394.57096993788116,399.46440277655086,18661817
2021-08-05,402.36053466796875,404.3079359241518,397.91651124043045,399.36455149028217,12040460
2021-08-06,409.30126953125,409.600855679054,399.2147860400232,400.2633680340561,16132397
2021-08-09,410.20001220703125,411.2485940828511,404.38279959977547,405.30657932534587,11323935
2021-08-10,409.401123046875,409.5009647737717,403.7087426847517,405.80593705378226,33137155
2021-08-11,412.1474304199219,412.7965540116369,408.1028348529894,409.45103337530026,15908675
2021-08-12,409.401123046875,413.35181995091096,407.75330787903255,411.44836607573956,19911635
2021-08-13,410.9490661621094,414.19471492280644,409.85053279391406,409.85053279391406,20477872
2021-08-16,404.657470703125,410.75028447424626,403.6088583118678,409.2013663017562,27120773
2021-08-17,405.3066101074219,408.30259338212,401.2120935366575,407.10418788155357,22465004
2021-08-18,404.90716552734375,406.7047433625681,398.0762966093659,405.7060822370615,12047961
2021-08-19,393.6221008300781,397.31759573766465,393.0228223238133,395.51979069944105,14897497
2021-08-20,395.6695556640625,397.51731813845777,393.42228439317927,394.92046524043474,38496222
2021-08-23,394.7706604003906,398.9655790408952,393.3723643470784,398.51611258635256,23577771
2021-08-24,389.9265441894531,393.0727179944653,386.7304432131584,393.0727179944653,23988818
2021-08-25,398.3163146972656,398.3163146972656,387.37961337818297,389.52699971640385,23474559
2021-08-26,394.9704284667969,397.46739658080986,391.97406672998136,392.5233875228371,11171478
2021-08-27,394.4710693359375,394.92050534741713,390.4259623491979,392.4734946700623,16377892
2021-08-31,385.7316589355469,390.02643203849357,381.93624899100513,386.93018538074256,32462404
2021-09-01,386.2809753417969,391.7942700801994,384.5830247964188,388.0288530582756,18015714
2021-09-02,386.7803649902344,388.42835786696486,382.2858223370231,386.131159369773,17756137
2021-09-03,383.9837341308594,387.07994992851104,382.78517735201257,385.7316116530147,16217771
2021-09-06,386.7803649902344,387.3796434401095,383.73407605084066,384.78279047769604,8646481
2021-09-07,382.0361633300781,384.5331317178564,380.88756396781434,382.7353266708845,20202903
2021-09-08,380.0884704589844,381.2870273343843,375.19441909880845,379.0397560534351,18780216
2021-09-09,375.99346923828125,378.9398733122354,373.0470346837594,377.8911589009338,18675621
2021-09-10,374.9447021484375,380.0385228744047,373.3466365606054,377.241930956123,13489555
2021-09-13,379.88873291015625,380.3881265302615,376.3929775694197,378.8399880195947,12230682
2021-09-14,372.4477844238281,376.8424425226397,371.2991851053593,376.5428185197591,25672101
2021-09-15,371.9983215332031,374.944725617143,370.59999500597166,371.64873990139523,29158430
2021-09-16,368.4526062011719,373.44654239387023,368.1030245715695,369.9507870589814,28536650
2021-09-17,375.5939636230469,379.3893737691156,371.5988142991243,372.54767445578403,79991043
2021-09-20,361.26141357421875,370.50019699358126,361.26141357421875,368.65243421359423,35684967
2021-09-21,359.3136901855469,367.30398767403716,358.0152790358936,362.55974854024606,37801875
2021-09-22,374.9447021484375,376.94227651308614,362.4029246723442,362.95925596054565,33258547
2021-09-23,376.3929443359375,380.2382809673386,329.150293756916,375.34419953797453,32792317
2021-09-24,374.9946594238281,376.5427673626685,371.9982978798281,376.2431434004948,28302653
2021-09-27,385.4819641113281,386.9301873835068,377.8911746635233,380.7377245165212,25948496
2021-09-28,384.8827209472656,390.4259786847732,382.2359405003527,383.88393357253835,21830054
2021-09-29,393.02276611328125,394.32117729067915,388.52822367996544,392.0239789058777,23497827
2021-09-30,389.5769348144531,394.2222950528182,389.12749886320057,393.67196842685246,27715937
2021-10-01,388.1786193847656,388.67801295929394,382.28578130144416,387.5294138339917,18812613
2021-10-04,383.7340087890625,389.4220780512658,381.9361737545658,383.5342391805975,24988392
2021-10-05,392.5234069824219,394.2213575763547,385.5818230891055,385.5818230891055,17570733
2021-10-06,405.8072509765625,409.6525880182825,397.41744410044424,398.266419366367,56111967
2021-10-07,415.5453796386719,419.09109229307177,407.5051553106749,410.5015167467828,50053445
2021-10-08,419.0411682128906,420.7690810857896,412.04965763528173,412.34931209123386,38626487
2021-10-11,430.277587890625,430.277587890625,419.94016296947063,419.94016296947063,46087488
2021-10-12,428.4797058105469,428.4797058105469,421.33838347648435,421.33838347648435,24356723
2021-10-13,424.0351257324219,430.12773421068226,421.9376968377772,430.12773421068226,31662586
2021-10-14,425.48333740234375,429.4285589437232,424.6343622057799,427.98030534484576,17208553
2021-10-15,433.6734313964844,435.5211634043101,430.17767605973887,431.476087278303,38201023
2021-10-18,432.2751159667969,435.3713625834581,429.0790150081211,430.2276142664041,28464618
2021-10-19,431.5759582519531,433.57353266600467,429.47849902108567,431.4760734351372,16373660
2021-10-20,432.7745056152344,434.6722257851358,429.27875022098993,430.97670074756445,18024030
2021-10-21,434.2227783203125,436.07054091991705,430.82690759920024,431.87562207111586,18850390
2021-10-22,434.2726745605469,437.4188787133338,431.72577932126603,433.57354178925766,24993076
2021-10-25,442.51263427734375,442.51263427734375,433.02415635958977,437.76839531846673,31589508
2021-10-26,446.6077575683594,447.4068057369023,344.0462750874983,440.8148031291353,30569575
2021-10-27,444.1606750488281,447.60647256182705,441.96333104125534,445.6588558320188,19739782
2021-10-28,439.8658752441406,442.66249768269097,435.9706112738893,440.66492328968343,24700050
2021-10-29,440.9645690917969,442.8123315929384,435.0717304367403,436.170402503411,31198853
2021-11-01,445.9585266113281,446.95731390497053,435.0717512067399,440.465196496295,18056181
2021-11-02,444.0108642578125,444.3604458949396,437.61863188968084,443.3117314641266,22235552
2021-11-03,443.9609069824219,443.9609069824219,439.8658733978319,441.86344778245467,20371732
2021-11-04,432.9742736816406,445.6578781137559,430.42835375979854,444.95972070396977,44495714
2021-11-05,436.7196960449219,441.21524422995964,430.37739133271896,431.1764393679674,25668001
2021-11-08,433.62347412109375,438.16797435113256,433.498625716102,435.07172781122466,22919247
2021-11-09,429.1788635253906,432.37496421370025,427.83049473600363,428.97909389712373,27383781
2021-11-10,430.77691650390625,432.72456377834374,427.48093086469964,429.12892368430295,22695358
2021-11-11,433.0242004394531,438.41767597881716,431.77571637581667,434.82203577943045,21402810
2021-11-12,433.6734313964844,436.4700234736537,431.6009356831868,435.3713514145631,33985190
2021-11-15,436.17041015625,436.96942777481087,429.7781472854895,430.72700737802785,19055419
2021-11-16,439.46636962890625,441.04443999930623,435.5211479820565,436.7696319866841,21088100
2021-11-17,439.06689453125,442.5126923600634,437.6186407825371,438.96700970710276,30262172
2021-11-18,438.46759033203125,441.61376398431395,436.51994305746393,438.81717195574424,21729565
2021-11-19,431.176513671875,445.4521806161546,428.1801516046085,438.9670428545394,37640643
2021-11-22,436.4200744628906,437.4188616519756,430.8767872751296,433.72333686013485,18174274
2021-11-23,442.4128112792969,446.30807534107845,433.27388383208967,433.4736534683111,18623327
2021-11-24,442.8123474121094,446.80749653867747,441.61379048191134,442.31295377128833,33193526
2021-11-25,443.2617492675781,445.209396509031,439.31655809722895,443.96091250311673,14178917
2021-11-26,413.5478210449219,428.67947125606895,412.898615471903,426.73182405644627,43810097
2021-11-29,415.94500732421875,423.3360276754013,414.5466806389219,418.94136939744715,24982386
2021-11-30,418.8414306640625,421.6879803634159,409.35295198659617,411.30056879520936,53457448
2021-12-01,428.67950439453125,428.8792435582883,417.74277169993854,417.99246851506103,30867746
2021-12-02,431.0765380859375,432.7744579449173,423.6855193054872,424.28476720832435,25779831
2021-12-03,429.1788635253906,436.7696217104796,426.99151716230114,434.4724233882394,24162272
2021-12-06,436.7696838378906,438.2678648213006,432.3750257160021,433.47369786661676,15759616
2021-12-07,442.962158203125,445.2593567524244,440.11560836207576,441.96337092420026,21436027
2021-12-08,439.76605224609375,443.6113895892838,435.47127888963973,440.465215574154,20735551
2021-12-09,439.91583251953125,441.7635644470444,436.6697741336447,440.41522611735996,19513056
2021-12-10,438.1180419921875,441.3641007093583,437.618648343392,438.96701729125374,20544102
2021-12-13,430.77691650390625,439.5412987583079,429.02903886602485,436.9694094703413,24598736
2021-12-14,434.1728515625,437.2690678084743,430.9767200098285,431.8256953110603,28401947
2021-12-15,431.77569580078125,437.9821792335868,431.77569580078125,434.97182704361535,35016471
2021-12-16,447.70635986328125,449.25446782228306,431.77569192131836,435.3214047495681,45901767
2021-12-17,444.9098205566406,449.2045938082716,441.26422248146724,446.7575527003566,39711829
2021-12-20,441.2641906738281,444.9097884862159,433.47366238992294,439.4663858331016,25448907
2021-12-21,444.6601257324219,445.9585370523283,439.11683783458284,441.36410929789247,30771804
2021-12-22,444.0608215332031,445.4691152263331,439.9657876743993,440.4651813039957,20280418
2021-12-23,447.3568115234375,449.0048044205639,442.0632511919238,442.2130631861047,10517995
2021-12-24,447.15704345703125,450.75265300725147,446.5577650384724,447.10708580848757,3277695
2021-12-29,448.85498046875,452.45062063614415,447.75630840641185,450.55293097241514,16327229
2021-12-30,448.0559997558594,450.3531984094124,445.7088434477516,446.5078611149256,11869230
2021-12-31,448.1058349609375,448.25564693271406,444.46026807174275,444.46026807174275,5751616
2022-01-04,470.9281921386719,472.02686421856606,454.4482023819633,456.3458920760161,36059821
2022-01-05,467.7320556640625,470.42879342368656,464.53595476141425,465.63462682943026,27632008
2022-01-06,477.6700134277344,478.89353393356896,463.3873676126088,464.33619723384703,35001580
2022-01-07,481.7150573730469,482.0147118232562,475.22294053254456,477.5201693952161,31774685
2022-01-10,491.4032897949219,492.9513977229845,482.8137139991414,488.1572314781871,34726983
2022-01-11,494.3996887207031,495.34854880037403,488.6566620335434,488.6566620335434,38635805
2022-01-12,500.5921630859375,500.7919022400929,494.18993339628884,496.3972446013054,36029176
2022-01-13,512.3778076171875,513.2767404360555,497.6356995389824,500.8917553996482,39474358
2022-01-14,515.9734497070312,516.8723825829333,508.1829216400369,508.98196969855354,25485065
2022-01-17,518.3706665039062,518.6503562404414,515.6739283009632,516.3730916811552,28851318
2022-01-18,515.374267578125,518.3706295989281,508.4227162244217,512.8772992274558,33497255
2022-01-19,511.8784484863281,518.6701893667005,509.7809892354415,514.1756468921864,40907595
2022-01-20,509.68115234375,515.374252205692,503.98808296237786,508.4826258595205,31029949
2022-01-21,504.78704833984375,504.8869331566607,501.49106274885185,502.8893587425888,37487844
2022-01-24,491.55316162109375,504.5873541219916,489.7553566805551,502.88940352659563,39820858
2022-01-25,508.7821960449219,508.98196567811476,492.35713314613616,498.8942088132059,28153744
2022-01-26,522.0661010742188,525.3620867647363,510.8796718254042,510.97955664523727,23928972
2022-01-27,537.6470947265625,546.3625243068976,519.7688418478309,519.9685505030113,39544346
2022-01-28,527.6593627929688,535.3500378422599,524.962624663848,534.3512504582259,75762199
2022-01-31,526.9600830078125,532.5433300739297,525.5618175557775,527.5593918825109,30969436
2022-02-01,542.8408813476562,543.6398989715799,532.253760668109,532.7531543032034,34086223
2022-02-02,545.7373657226562,548.7337274064312,539.4449574178213,547.1356312650705,28072534
2022-02-03,545.637451171875,551.6301745476477,542.6410894839887,545.8372208099611,32378166
2022-02-04,544.3389892578125,548.7336770417767,540.4776503907841,547.5351202860475,23255009
2022-02-07,556.224609375,556.324463709346,544.5387870833133,549.3329533934295,35614557
2022-02-08,562.816650390625,565.4644365304852,556.22467851496,557.3233201738576,45308014
2022-02-09,560.1199951171875,563.1982892795945,556.224760601675,562.8167334501723,32315290
2022-02-10,561.0188598632812,564.1150762261636,553.1284155097998,556.5243168429506,20729864
2022-02-11,566.51220703125,566.51220703125,555.825170006903,557.8227447418784,25062386
2022-02-14,557.5230102539062,563.6655147701681,551.5302872364034,557.8226342125552,30648498
2022-02-15,554.1271362304688,556.7240195733693,544.9382816346933,545.8372145151462,48395580
2022-02-16,547.635009765625,558.4218993372956,543.5400066285987,553.1283393676097,20125755
2022-02-17,539.4449462890625,546.7361416714049,533.1525990751734,546.7361416714049,24230834
2022-02-18,543.7398071289062,547.435271211126,540.6435300553328,542.3414805845651,27292257
2022-02-21,546.1369018554688,554.8263638505773,541.3427348461078,547.3354588480943,17811934
